frame,skip_reason,translation_jump_mm,rotation_jump_deg,pose_confidence_score,candidate_score,bbox_area,mask_area,temporal_translation_threshold_mm,temporal_rotation_threshold_deg,hold_count_before
000090,,27.851007294635256,1.7091554649003502,0.6206614971160889,0.6209647059440613,10325.0,9455,25.0,120.0,0
000095,,50.707655869916955,3.6153546070174234,0.6074919104576111,0.6274676322937012,7788.0,7321,25.0,120.0,1
000100,temporal_jump_reject,71.45746801884184,3.121690406883305,0.6171957850456238,0.6306509971618652,9238.0,8741,25.0,120.0,2
000105,temporal_jump_reject,89.93182670387941,3.3359303843565358,0.6235207915306091,0.62596595287323,12352.0,11311,25.0,120.0,2
000110,temporal_jump_reject,172.97874064035352,7.635894446418132,0.6383340954780579,0.6383340954780579,10752.0,9752,25.0,120.0,2
000115,temporal_jump_reject,124.58083970343586,6.794476586423639,0.6347526907920837,0.6347526907920837,12804.0,11907,25.0,120.0,2
000120,temporal_jump_reject,148.50096005039893,7.30255241570354,0.6279611587524414,0.6279611587524414,12545.0,11860,25.0,120.0,2
000125,temporal_jump_reject,166.20278908779667,9.42907976406929,0.63102787733078,0.63102787733078,13065.0,11802,25.0,120.0,2
000130,temporal_jump_reject,187.94116597918338,10.026131881417582,0.626480758190155,0.626480758190155,13248.0,11807,25.0,120.0,2
000135,temporal_jump_reject,218.39737678524125,15.95384806887676,0.5670878887176514,0.5676422119140625,12351.0,11614,25.0,120.0,2
000140,temporal_jump_reject,231.6246690722745,15.101008041827914,0.5698593854904175,0.607468843460083,10048.0,9098,25.0,120.0,2
000145,temporal_jump_reject,238.88225361800366,14.849574807148649,0.5547567009925842,0.5547567009925842,10494.0,9692,25.0,120.0,2
000150,temporal_jump_reject,250.02264939902784,14.896755303530583,0.5559728145599365,0.5966862440109253,5830.0,5223,25.0,120.0,2
000155,temporal_jump_reject,261.40146352051346,12.967542121730714,0.5577900409698486,0.5610775947570801,9858.0,9030,25.0,120.0,2
000235,pose_confidence_score_below_min,110.72843530342932,13.184631307970118,0.5457844138145447,0.5718110203742981,9060.0,8820,25.0,120.0,2
000240,pose_confidence_score_below_min,183.51027002946907,21.07279849586877,0.45803171396255493,0.62956303358078,10740.0,9742,25.0,120.0,2
000245,temporal_jump_reject,244.6412269874522,20.482782944734286,0.6211568117141724,0.6238985657691956,9982.0,9313,25.0,120.0,2
000250,temporal_jump_reject,273.19935859991125,21.8439905665523,0.610072135925293,0.610072135925293,11895.0,10504,25.0,120.0,2
000255,temporal_jump_reject,318.6887575071072,25.400793972735325,0.6116438508033752,0.6116438508033752,10496.0,9758,25.0,120.0,2
000260,temporal_jump_reject,338.1468430769222,26.991506041010467,0.5637970566749573,0.5637970566749573,11316.0,10310,25.0,120.0,2
000265,temporal_jump_reject,364.69902217908276,31.553742066425244,0.5652878284454346,0.5652878284454346,10676.0,9714,25.0,120.0,2
000270,temporal_jump_reject,376.16977354929116,28.43048457476454,0.5666942000389099,0.5669710636138916,10112.0,9028,25.0,120.0,2
