frame,skip_reason,translation_jump_mm,rotation_jump_deg,pose_confidence_score,candidate_score,bbox_area,mask_area,temporal_translation_threshold_mm,temporal_rotation_threshold_deg,hold_count_before
000615,pose_confidence_score_below_min,211.67753024441697,16.929824076007463,0.463052362203598,0.6208308935165405,3520.0,2464,25.0,120.0,2
000620,pose_confidence_score_below_min,213.9602710726462,12.70486236316039,0.39401960372924805,0.6220932006835938,8584.0,8016,25.0,120.0,2
000625,temporal_jump_reject,212.31590410682495,20.571061795272882,0.6205900311470032,0.6205900311470032,10034.0,9148,25.0,120.0,2
000630,pose_confidence_score_below_min,212.32004591547434,11.990353182834829,0.3425057530403137,0.5763224959373474,8493.0,7978,25.0,120.0,2
000635,pose_confidence_score_below_min,217.85912577891662,19.781136054609668,0.46528029441833496,0.6165066361427307,8909.0,8516,25.0,120.0,2
000640,temporal_jump_reject,228.14919800534346,20.722278821741146,0.5631951093673706,0.6062018871307373,3575.0,2640,25.0,120.0,2
000645,temporal_jump_reject,234.07699885013392,22.514336216503217,0.5872779488563538,0.6084387898445129,8990.0,8496,25.0,120.0,2
000650,temporal_jump_reject,243.80605949268866,23.2009939137091,0.5659850239753723,0.6149689555168152,9145.0,8520,25.0,120.0,2
000655,temporal_jump_reject,251.71189005783566,24.65528247035181,0.5923565030097961,0.6176541447639465,9240.0,8979,25.0,120.0,2
000660,temporal_jump_reject,246.12152052240867,26.960429713578495,0.61332768201828,0.61332768201828,11285.0,10943,25.0,120.0,2
000665,temporal_jump_reject,238.41123083906888,21.384850087554632,0.5920408368110657,0.6137728095054626,9420.0,8794,25.0,120.0,2
000670,temporal_jump_reject,241.0389160543749,26.882598393415492,0.6188828945159912,0.6188828945159912,9858.0,9079,25.0,120.0,2
000675,temporal_jump_reject,216.24069538735097,24.347319690969453,0.5918512940406799,0.602731466293335,8906.0,8718,25.0,120.0,2
000680,temporal_jump_reject,211.49088769493395,23.13150930777532,0.6040940284729004,0.6067604422569275,10560.0,9794,25.0,120.0,2
000745,temporal_jump_reject,172.34578036943137,22.719340817051048,0.5990228652954102,0.6036370992660522,9048.0,8488,25.0,120.0,2
000750,temporal_jump_reject,166.18650669917116,17.63077265962485,0.6160203814506531,0.6184361577033997,10974.0,10129,25.0,120.0,2
000755,temporal_jump_reject,159.07642868952357,17.350363960018424,0.6126123666763306,0.6126123666763306,11100.0,10259,25.0,120.0,2
000760,temporal_jump_reject,156.1173398131201,13.866111452978517,0.6171331405639648,0.6415187120437622,7018.0,6516,25.0,120.0,2
000765,temporal_jump_reject,141.46538633133227,13.897027661473334,0.6091513633728027,0.6185017824172974,8968.0,8253,25.0,120.0,2
000770,temporal_jump_reject,125.71075164701173,14.547123702974647,0.6302140355110168,0.6558970808982849,6440.0,5877,25.0,120.0,2
000775,temporal_jump_reject,121.15018133387477,10.513859695220521,0.5883694887161255,0.6100355982780457,8758.0,8514,25.0,120.0,2
000780,temporal_jump_reject,115.86829789027021,12.843273280821682,0.6186690330505371,0.625078558921814,10620.0,9737,25.0,120.0,2
000785,temporal_jump_reject,112.26730184482116,11.603229330296754,0.5523858070373535,0.64822918176651,3564.0,2631,25.0,120.0,2
000790,temporal_jump_reject,111.77446637968683,12.608765372631353,0.6213508248329163,0.6616339087486267,3575.0,2660,25.0,120.0,2
000795,temporal_jump_reject,110.8525841582827,13.881249095414624,0.6266618967056274,0.6486752033233643,3696.0,2864,25.0,120.0,2
000800,temporal_jump_reject,112.181319568547,14.658540280564264,0.622734010219574,0.6569591164588928,3630.0,2635,25.0,120.0,2
000805,temporal_jump_reject,110.18078058285775,12.428765955190018,0.6205099821090698,0.6370567083358765,3630.0,2800,25.0,120.0,2
000810,temporal_jump_reject,111.60459027133757,11.515784514163407,0.6281408071517944,0.6312342882156372,3564.0,2689,25.0,120.0,2
000815,temporal_jump_reject,104.56827440978797,13.866423895291357,0.5592259764671326,0.6218274831771851,3510.0,2601,25.0,120.0,2
000820,temporal_jump_reject,105.88564156621857,13.684250525938307,0.629605770111084,0.629605770111084,10203.0,10151,25.0,120.0,2
000825,temporal_jump_reject,104.63730464891289,14.370811300040382,0.6212383508682251,0.6322855353355408,3520.0,2639,25.0,120.0,2
000830,temporal_jump_reject,104.49767184222524,13.912215411592467,0.6275259852409363,0.648675262928009,3575.0,2622,25.0,120.0,2
000835,temporal_jump_reject,105.00027141627463,13.816615080856186,0.6228668689727783,0.6332847476005554,3520.0,2644,25.0,120.0,2
000840,temporal_jump_reject,105.81064332417162,13.773904870557832,0.6283159255981445,0.6323001980781555,3520.0,2637,25.0,120.0,2
000845,temporal_jump_reject,104.10084305965648,14.434211244289907,0.6258075833320618,0.6438588500022888,3520.0,2640,25.0,120.0,2
000850,temporal_jump_reject,103.58958609295411,13.834390132847693,0.629548192024231,0.629548192024231,10440.0,10098,25.0,120.0,2
000855,temporal_jump_reject,105.6568432509782,13.347428956188296,0.62640780210495,0.6363621950149536,3520.0,2638,25.0,120.0,2
000860,temporal_jump_reject,106.36036258648282,11.537952586302803,0.6265928745269775,0.6370474100112915,3520.0,2646,25.0,120.0,2
