frame,stage,score,bbox_area,mask_area,depth_valid_ratio,reasons
001366,no_ism_candidate,0.57697993516922,6604.0,4840.0,0.9857438016528925,mask_area_below_min;bbox_area_below_min
001371,no_ism_candidate,0.5717968344688416,6820.0,4664.0,0.989065180102916,mask_area_below_min;bbox_area_below_min
001372,no_ism_candidate,0.6032863855361938,7224.0,4855.0,0.9886714727085479,mask_area_below_min;bbox_area_below_min
001373,no_ism_candidate,0.6033803224563599,6490.0,4421.0,0.9880117620447862,mask_area_below_min;bbox_area_below_min
001377,no_ism_candidate,0.567873477935791,8978.0,6820.0,0.9828445747800586,mask_area_below_min;bbox_area_below_min
001380,no_ism_candidate,0.5838916301727295,7308.0,4898.0,0.9932625561453654,mask_area_below_min;bbox_area_below_min
001383,no_ism_candidate,0.5802583694458008,6480.0,4636.0,0.908541846419327,mask_area_below_min;bbox_area_below_min
001388,no_ism_candidate,0.6075678467750549,7381.0,4828.0,0.9527754763877382,mask_area_below_min;bbox_area_below_min
001392,no_ism_candidate,0.5661914348602295,7125.0,5127.0,0.9617710161888043,mask_area_below_min;bbox_area_below_min
001395,no_ism_candidate,0.5785684585571289,7182.0,5218.0,0.9653123802223074,mask_area_below_min;bbox_area_below_min
001401,no_ism_candidate,0.5907654762268066,6888.0,4951.0,0.9785901838012523,mask_area_below_min;bbox_area_below_min
001406,no_ism_candidate,0.5883402824401855,7410.0,5227.0,0.9307442127415343,mask_area_below_min;bbox_area_below_min
001411,no_ism_candidate,0.5772297382354736,8052.0,5610.0,0.9085561497326203,mask_area_below_min;bbox_area_below_min
001419,no_ism_candidate,0.5891718864440918,8960.0,6205.0,0.9585817888799355,mask_area_below_min;bbox_area_below_min
001422,no_ism_candidate,0.5749757885932922,8704.0,5924.0,0.9944294395678596,mask_area_below_min;bbox_area_below_min
001425,no_ism_candidate,0.5712732672691345,10920.0,8046.0,0.9130002485707184,mask_area_below_min
001430,no_ism_candidate,0.5910501480102539,11440.0,7766.0,0.9567344836466649,mask_area_below_min
001435,no_ism_candidate,0.5765109658241272,11952.0,8601.0,0.6251598651319614,mask_area_below_min;depth_valid_ratio_below_min
001440,no_ism_candidate,0.6073353290557861,8712.0,6453.0,0.45343251200991785,mask_area_below_min;bbox_area_below_min;depth_valid_ratio_below_min
001444,no_ism_candidate,0.5892119407653809,7152.0,4921.0,0.3283885389148547,mask_area_below_min;bbox_area_below_min;depth_valid_ratio_below_min
001448,no_ism_candidate,0.4139831066131592,21721.0,14402.0,0.7528121094292459,final_score_below_min;depth_valid_ratio_below_min
001453,no_ism_candidate,0.4212401211261749,11544.0,8124.0,0.6754062038404727,final_score_below_min;mask_area_below_min;depth_valid_ratio_below_min
001458,no_ism_candidate,0.4436594247817993,28208.0,6056.0,0.7612285336856011,final_score_below_min;mask_area_below_min;depth_valid_ratio_below_min
001463,no_ism_candidate,0.47253575921058655,5904.0,4466.0,1.0,final_score_below_min;mask_area_below_min;bbox_area_below_min
001467,no_ism_candidate,0.4797805845737457,5856.0,4426.0,1.0,final_score_below_min;mask_area_below_min;bbox_area_below_min
001472,no_ism_candidate,0.46144646406173706,4186.0,3428.0,0.8879813302217037,final_score_below_min;mask_area_below_min;bbox_area_below_min
001475,no_ism_candidate,0.4338560402393341,5278.0,4660.0,0.9463519313304721,final_score_below_min;mask_area_below_min;bbox_area_below_min
001480,no_ism_candidate,0.43561139702796936,3645.0,3095.0,0.8820678513731826,final_score_below_min;mask_area_below_min;bbox_area_below_min
001483,no_ism_candidate,0.4598081409931183,7040.0,5337.0,1.0,final_score_below_min;mask_area_below_min;bbox_area_below_min
001487,no_ism_candidate,0.468217134475708,7074.0,5434.0,1.0,final_score_below_min;mask_area_below_min;bbox_area_below_min
001491,no_ism_candidate,0.46470171213150024,7074.0,5587.0,1.0,final_score_below_min;mask_area_below_min;bbox_area_below_min
001724,no_ism_candidate,0.5530228614807129,9880.0,7378.0,0.9407698563296286,mask_area_below_min
001729,no_ism_candidate,0.5405665636062622,8875.0,6858.0,0.9409448818897638,final_score_below_min;mask_area_below_min;bbox_area_below_min
001734,no_ism_candidate,0.5734857320785522,7503.0,4667.0,0.9320762802656953,mask_area_below_min;bbox_area_below_min
001739,no_ism_candidate,0.5665021538734436,6783.0,4275.0,0.9239766081871345,mask_area_below_min;bbox_area_below_min
001744,no_ism_candidate,0.5624012351036072,6440.0,4898.0,0.9616169865251123,mask_area_below_min;bbox_area_below_min
001748,no_ism_candidate,0.5731105208396912,5650.0,3865.0,0.9539456662354463,mask_area_below_min;bbox_area_below_min
001753,no_ism_candidate,0.576696515083313,5280.0,3598.0,0.9641467481934408,mask_area_below_min;bbox_area_below_min
001758,no_ism_candidate,0.5700616836547852,5264.0,3511.0,0.969809171176303,mask_area_below_min;bbox_area_below_min
