group,dataset,outdir,frame,candidate_score,pose_confidence,bbox,bbox_area,mask_area,candidate_depth_valid_ratio,semantic,appearance,geometric,visible_ratio,score_margin,tx,ty,tz,mask_depth_valid_ratio,mask_depth_median_mm,mask_depth_mean_mm,mask_depth_std_mm,mask_depth_iqr_mm,object_center_depth_mm,center_patch_depth_mm,center_depth_abs_error_mm,mask_median_depth_abs_error_mm,projected_point_depth_residual_mm,projected_point_depth_valid_ratio,projected_bbox,projected_bbox_iou,render_mask_iou_approx,bbox_center_distance_px,bbox_scale_ratio,correspondence_count,inlier_count,reprojection_error
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,000000,0.598650336265564,0.5987,"[152, 219, 50, 121]",6050.0,4423,0.9721908207099254,0.6880166530609131,0.7693578004837036,0.333268940448761,0.9800000190734863,0.00715947151184082,-205.8000030517578,124.69999694824219,636.4000244140625,0.9721908207099254,653.0,654.1160465116279,13.932337261896585,24.0,636.4000244140625,681.0,44.5999755859375,16.5999755859375,66.5451772686938,0.4346,"[150.70619293379224, 206.54418494876558, 78.25015258966894, 127.49323866155385]",0.5598203735548192,0.5470954620566925,15.794010125208704,0.606433282052982,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,000082,0.5958939790725708,0.5756,"[174, 218, 53, 118]",6254.0,4274,0.9784744969583529,0.6799663305282593,0.7433807849884033,0.3643348217010498,1.0,0.01749575138092041,-234.50508825185713,123.41967936408383,688.1038293172114,0.9784744969583529,657.0,656.4404591104735,13.952922437700597,24.0,688.1038293172114,645.0,43.10382931721142,31.10382931721142,18.60356175478728,0.999,"[148.52036600115903, 208.92352996769142, 71.64111674777621, 117.73090207164302]",0.5185354086843028,0.41695747705829134,18.599962258203398,0.7414895899733848,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,000143,0.5947277545928955,0.5947,"[228, 197, 56, 132]",7392.0,4646,0.9636246233318984,0.5969830751419067,0.7138736248016357,0.46465516090393066,0.9333333373069763,0.004910707473754883,-105.54486029493657,109.41292379891526,662.5591010779106,0.9636246233318984,663.0,664.0938128210855,12.595107014599456,20.0,662.5591010779106,660.0,2.5591010779105545,0.4408989220894455,28.970759162370314,0.9986,"[220.68618056485255, 199.4137262555117, 70.23012615448866, 121.46257337763316]",0.7457878403735217,0.6025463603653474,2.861897129153993,0.8665547986648928,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,000216,0.5968256592750549,0.5402,"[347, 190, 41, 130]",5330.0,3740,0.9836898395721925,0.6394568681716919,0.7302563786506653,0.41469258069992065,0.9666666388511658,0.056620657444000244,52.874000131195615,92.48493692007932,680.869938169393,0.9836898395721925,655.0,656.0187550964936,11.2825977354653,19.0,680.869938169393,649.0,31.86993816939298,25.86993816939298,9.574954942719955,0.999,"[316.94765123663717, 191.36655329597974, 65.71910305675647, 116.18126759226917]",0.46973863202474037,0.3803566675538994,18.540707886434717,0.6980707983513265,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,000296,0.5222054719924927,0.5191,"[511, 161, 83, 160]",13280.0,11696,0.9491279069767442,0.5385026335716248,0.6168452501296997,0.40418753027915955,0.9399999976158142,0.03896653652191162,334.99104515486863,74.48806892612399,575.5557419596016,0.9491279069767442,530.0,537.6325556256193,16.11850927555875,20.0,575.5557419596016,535.0,40.55574195960162,45.55574195960162,16.610928200987587,0.9988,"[506.2218026026212, 166.13383595781912, 83.83876478868649, 140.65579277191793]",0.7970371351403667,0.8205107417916497,6.292467048002506,1.1261482881967029,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,001317,0.5965104103088379,0.5965,"[241, 197, 56, 124]",6944.0,4856,0.9911449752883031,0.6231741905212402,0.6861559152603149,0.4761904776096344,0.9666666388511658,0.01515430212020874,-40.612340185695295,93.82226878743704,747.6963992878983,0.9911449752883031,709.0,710.6798254726782,9.695612702827619,16.0,747.6963992878983,,,38.696399287898316,721.9851335392997,0.34,"[267.4559015438098, 196.61812238350856, 59.137218897881894, 107.30628525654228]",0.31181960869458875,0.22639656230816452,29.352410989174082,1.0942678881430525,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,001377,0.5697828531265259,0.5692,"[151, 202, 67, 134]",8978.0,6820,0.9828445747800586,0.5981737971305847,0.6505782008171082,0.4568316638469696,0.9666666388511658,0.023048877716064453,-211.27909614533476,117.15512168462413,686.0773555559243,0.9828445747800586,658.0,661.6198716992392,12.106441700245918,17.0,686.0773555559243,678.0,8.077355555924328,28.077355555924328,15.809446756741636,0.9982,"[162.43748437859745, 204.97648554276833, 68.87363472283184, 118.58989618547969]",0.624175897983311,0.5781661479530764,13.246987711034595,1.099205541681389,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,001744,0.5609317421913147,0.5609,"[141, 209, 56, 115]",6440.0,4898,0.9616169865251123,0.5885368585586548,0.6529119610786438,0.4363636374473572,0.9599999785423279,0.008825421333312988,-356.49102667956356,125.62117214595318,753.7036592099381,0.9616169865251123,738.0,741.6779193205945,13.28017857624081,20.0,753.7036592099381,728.0,25.70365920993811,15.70365920993811,20.60527954442739,0.6118,"[99.84070929267769, 213.49980693496516, 66.14259828277052, 107.31796532089547]",0.24694900096611175,0.14596136962247586,36.094004197292485,0.9072608818309591,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,002200,0.5149255394935608,0.5134,"[356, 187, 53, 144]",7632.0,5821,0.9888335337570864,0.5651158690452576,0.5832144618034363,0.3443155586719513,0.6944444179534912,0.009553194046020508,163.7035609893799,65.46343790817261,585.6728476715087,0.9888335337570864,557.0,557.5514246004169,10.106553395126356,16.0,585.6728476715087,,,28.672847671508748,813.49979352565,0.979,"[399.35413546477355, 165.0572317515506, 106.74908025367006, 145.1536259853122]",0.05417293941298369,0.008696242951287451,73.40688604854425,0.4925454717703307,not_logged,not_logged,not_logged
SLAM_visible_TP_sample,SLAM_with_milk_nomilk,improved_recall_recovery,002336,0.5627064108848572,0.5627,"[78, 203, 101, 169]",17069.0,12119,0.9137717633468108,0.5895857810974121,0.6446117758750916,0.45094120502471924,0.9733333587646484,0.005145430564880371,-263.65129493911365,136.33317514432002,531.1852510769223,0.9137717633468108,490.0,494.76359039190896,14.471413407134156,14.0,531.1852510769223,491.0,40.18525107692233,41.18525107692233,23.43299782335498,0.9112,"[64.80348095716973, 206.80533317594194, 104.71559144396356, 154.22939217852877]",0.7388356274132882,0.709113694910534,11.89045150567179,1.0568894953173744,not_logged,not_logged,not_logged
