dataset,outdir,frame,gt_visible,should_pose,candidate_score,pose_confidence,mask_area,bbox_area,depth_valid_ratio,score_margin,semantic,appearance,geometric,visible_ratio,mask_depth_median_abs_error,mask_depth_std,mask_depth_iqr,projected_point_depth_residual,projected_point_depth_valid_ratio,projected_bbox_iou,render_mask_iou_approx,bbox_center_distance,bbox_scale_ratio
SLAM_with_milk_nomilk,improved_recall_recovery,000000,True,True,0.598650336265564,0.5987,4423,6050.0,0.9721908207099254,0.00715947151184082,0.6880166530609131,0.7693578004837036,0.333268940448761,0.9800000190734863,16.5999755859375,13.932337261896585,24.0,66.71055183772762,0.4345,0.5307615177130928,0.5544131392709307,18.51729165424037,0.6556648682765467
SLAM_with_milk_nomilk,improved_recall_recovery,000013,True,True,0.5785643458366394,0.5786,4539,6625.0,0.9735624586913417,0.010189056396484375,0.6296896934509277,0.7259281873703003,0.37180471420288086,0.9599999785423279,1.6700073242187727,14.040118572472586,24.0,38.58724218420548,0.85075,0.6351835040377324,0.5779562448075325,11.725114287635169,0.7569424922224325
SLAM_with_milk_nomilk,improved_recall_recovery,000017,True,True,0.5948178172111511,0.5942,4557,6678.0,0.9710335747202107,0.031248271465301514,0.6548019647598267,0.7454895973205566,0.376897931098938,0.9666666388511658,12.335504760742197,14.032969366164178,23.0,22.88415539166772,0.94275,0.6488350981457814,0.5745337259851353,10.42007617558642,0.7984805144268773
SLAM_with_milk_nomilk,improved_recall_recovery,000022,True,True,0.6019176244735718,0.6013,4768,6858.0,0.9737835570469798,0.00929933786392212,0.6710349917411804,0.7495130300521851,0.38078224658966064,0.9800000190734863,20.98808236694333,14.2317670414062,25.0,11.675268623015086,0.9985,0.6946756830193679,0.6300636574074074,7.792920010835181,0.841832960394888
SLAM_with_milk_nomilk,improved_recall_recovery,000026,True,True,0.5831963419914246,0.5832,4679,6804.0,0.9745672152169267,0.024062812328338623,0.6356052756309509,0.7375958561897278,0.375,0.9933333396911621,26.472249266052245,14.254741149420989,24.0,7.135403537076911,0.9985,0.702555064094728,0.6217321454651672,8.311875611945242,0.8577080986650333
SLAM_with_milk_nomilk,improved_recall_recovery,000031,True,True,0.6031134128570557,0.5555,4534,6678.0,0.9697838553153948,0.04731112718582153,0.6696868538856506,0.7582310438156128,0.376897931098938,0.9800000190734863,28.07197056785583,14.29381291465823,25.0,6.419443515679518,0.9985,0.6982805375460074,0.5991524185298845,9.19217859385614,0.8555937855607731
SLAM_with_milk_nomilk,improved_recall_recovery,000034,True,True,0.587572455406189,0.5876,4553,6678.0,0.97210630353613,0.0064705610275268555,0.6436249613761902,0.7419167757034302,0.36992064118385315,0.9666666388511658,30.286789414028135,14.36948332138875,25.0,6.378633411872272,0.9985,0.6835827517699448,0.594287379772661,10.337688043028562,0.8488616475122186
SLAM_with_milk_nomilk,improved_recall_recovery,000037,True,True,0.5691708922386169,0.5532,4539,6625.0,0.976867151354924,0.015431106090545654,0.6154565215110779,0.7123568058013916,0.37180471420288086,0.9599999785423279,31.20142166404014,14.388485268930626,25.0,7.383918884290097,0.9985,0.6878224341468765,0.5957446808510638,11.050716888604176,0.8553828686192105
SLAM_with_milk_nomilk,improved_recall_recovery,000042,True,True,0.5909117460250854,0.588,4681,6344.0,0.9826960051271096,0.014287471771240234,0.6601482629776001,0.7546492218971252,0.3515549600124359,0.9733333587646484,14.140915536704142,14.16101692431772,25.0,20.083793163995438,0.99875,0.6619741295416393,0.6220404649160568,10.086179593216402,0.7998503040503835
SLAM_with_milk_nomilk,improved_recall_recovery,000047,True,True,0.5984882712364197,0.5662,4557,6572.0,0.9771779679613781,0.03170514106750488,0.5988020896911621,0.7125929594039917,0.48289018869400024,0.9897959232330322,20.1965908263968,14.05223690493237,25.0,7.616822764261997,0.99825,0.7085956169840204,0.6108115984263441,7.91659994729932,0.8448102256375433
SLAM_with_milk_nomilk,improved_recall_recovery,000052,True,True,0.5953992009162903,0.5609,4454,6000.0,0.9800179613830265,0.009854793548583984,0.6869496703147888,0.7592980861663818,0.3382352888584137,0.9933333396911621,24.92278830961891,14.504476128834812,25.0,6.6623260524615375,0.9985,0.6328680661977013,0.5905178701677608,11.39667248390752,0.7712620307931767
