alpha_t,alpha_r,t_mean,t_max,r_mean,r_max
0.2,0.35,14.310886213221409,49.565526642682336,22.862999814830847,121.17914937352138
0.25,0.35,16.469116383043513,57.24104679431038,22.862999814830847,121.17914937352138
0.3,0.35,18.41310311510573,66.87714048185173,22.862999814830847,121.17914937352138
0.35,0.35,20.21926197402989,76.53951376945953,22.862999814830847,121.17914937352138
0.2,0.2,14.310886213221409,49.565526642682336,12.52995540906692,121.66666677238601
0.25,0.2,16.469116383043513,57.24104679431038,12.52995540906692,121.66666677238601
0.3,0.2,18.41310311510573,66.87714048185173,12.52995540906692,121.66666677238601
0.35,0.2,20.21926197402989,76.53951376945953,12.52995540906692,121.66666677238601
0.2,0.3,14.310886213221409,49.565526642682336,19.26640761134386,127.44214669700077
0.25,0.3,16.469116383043513,57.24104679431038,19.26640761134386,127.44214669700077
0.3,0.3,18.41310311510573,66.87714048185173,19.26640761134386,127.44214669700077
0.35,0.3,20.21926197402989,76.53951376945953,19.26640761134386,127.44214669700077
0.2,0.15,14.310886213221409,49.565526642682336,9.435338417274044,127.52459597277785
0.25,0.15,16.469116383043513,57.24104679431038,9.435338417274044,127.52459597277785
0.3,0.15,18.41310311510573,66.87714048185173,9.435338417274044,127.52459597277785
0.35,0.15,20.21926197402989,76.53951376945953,9.435338417274044,127.52459597277785
0.2,0.25,14.310886213221409,49.565526642682336,16.113857353026543,132.0533238779435
0.25,0.25,16.469116383043513,57.24104679431038,16.113857353026543,132.0533238779435
0.3,0.25,18.41310311510573,66.87714048185173,16.113857353026543,132.0533238779435
0.35,0.25,20.21926197402989,76.53951376945953,16.113857353026543,132.0533238779435
0.2,0.1,14.310886213221409,49.565526642682336,6.486870510196525,135.9107472767844
0.25,0.1,16.469116383043513,57.24104679431038,6.486870510196525,135.9107472767844
0.3,0.1,18.41310311510573,66.87714048185173,6.486870510196525,135.9107472767844
0.35,0.1,20.21926197402989,76.53951376945953,6.486870510196525,135.9107472767844
