,candidate_score,candidate_score,candidate_score,candidate_score,candidate_score,pose_confidence,pose_confidence,pose_confidence,pose_confidence,pose_confidence,bbox_area,bbox_area,bbox_area,bbox_area,bbox_area,mask_area,mask_area,mask_area,mask_area,mask_area,candidate_depth_valid_ratio,candidate_depth_valid_ratio,candidate_depth_valid_ratio,candidate_depth_valid_ratio,candidate_depth_valid_ratio,semantic,semantic,semantic,semantic,semantic,appearance,appearance,appearance,appearance,appearance,geometric,geometric,geometric,geometric,geometric,visible_ratio,visible_ratio,visible_ratio,visible_ratio,visible_ratio,score_margin,score_margin,score_margin,score_margin,score_margin,tx,tx,tx,tx,tx,ty,ty,ty,ty,ty,tz,tz,tz,tz,tz,mask_depth_valid_ratio,mask_depth_valid_ratio,mask_depth_valid_ratio,mask_depth_valid_ratio,mask_depth_valid_ratio,mask_depth_median_mm,mask_depth_median_mm,mask_depth_median_mm,mask_depth_median_mm,mask_depth_median_mm,mask_depth_mean_mm,mask_depth_mean_mm,mask_depth_mean_mm,mask_depth_mean_mm,mask_depth_mean_mm,mask_depth_std_mm,mask_depth_std_mm,mask_depth_std_mm,mask_depth_std_mm,mask_depth_std_mm,mask_depth_iqr_mm,mask_depth_iqr_mm,mask_depth_iqr_mm,mask_depth_iqr_mm,mask_depth_iqr_mm,object_center_depth_mm,object_center_depth_mm,object_center_depth_mm,object_center_depth_mm,object_center_depth_mm,center_patch_depth_mm,center_patch_depth_mm,center_patch_depth_mm,center_patch_depth_mm,center_patch_depth_mm,center_depth_abs_error_mm,center_depth_abs_error_mm,center_depth_abs_error_mm,center_depth_abs_error_mm,center_depth_abs_error_mm,mask_median_depth_abs_error_mm,mask_median_depth_abs_error_mm,mask_median_depth_abs_error_mm,mask_median_depth_abs_error_mm,mask_median_depth_abs_error_mm,projected_point_depth_residual_mm,projected_point_depth_residual_mm,projected_point_depth_residual_mm,projected_point_depth_residual_mm,projected_point_depth_residual_mm,projected_point_depth_valid_ratio,projected_point_depth_valid_ratio,projected_point_depth_valid_ratio,projected_point_depth_valid_ratio,projected_point_depth_valid_ratio,projected_bbox_iou,projected_bbox_iou,projected_bbox_iou,projected_bbox_iou,projected_bbox_iou,render_mask_iou_approx,render_mask_iou_approx,render_mask_iou_approx,render_mask_iou_approx,render_mask_iou_approx,bbox_center_distance_px,bbox_center_distance_px,bbox_center_distance_px,bbox_center_distance_px,bbox_center_distance_px,bbox_scale_ratio,bbox_scale_ratio,bbox_scale_ratio,bbox_scale_ratio,bbox_scale_ratio
,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max,count,mean,median,min,max
group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAM_hidden_FP,3,0.5549,0.5628,0.5192,0.5827,3,0.5532,0.5628,0.5192,0.5776,3,8041.3333,9724.0,4182.0,10218.0,3,6305.6667,7259.0,3156,8502,3,0.9628,0.9672,0.9329,0.9883,3,0.5682,0.5763,0.53,0.5983,3,0.6524,0.6698,0.5691,0.7184,3,0.4363,0.447,0.4144,0.4477,3,0.92,0.9533,0.8467,0.96,3,0.0295,0.023,0.0162,0.0493,3,-16.1588,92.4235,-456.7,315.8,3,96.5409,80.7228,69.1,139.8,3,711.1553,702.0,665.0,766.4659,3,0.9628,0.9672,0.9329,0.9883,3,678.0,660.0,624.0,750.0,3,681.8326,664.4812,630.0762,750.9404,3,11.8607,13.5787,7.161,14.8424,3,16.0,15.0,9.0,24.0,3,711.1553,702.0,665.0,766.4659,3,687.0,669.0,624.0,768.0,3,25.178,33.0,1.5341,41.0,3,33.1553,41.0,16.4659,42.0,3,17.5561,11.663,11.3672,29.6382,3,0.8853,0.9982,0.658,0.9996,3,0.6311,0.8038,0.2174,0.8722,3,0.5709,0.8068,0.0741,0.8317,3,12.9456,4.775,2.0431,32.0187,3,0.9587,1.0978,0.6761,1.1023
SLAM_visible_TP_sample,10,0.5713,0.5823,0.5149,0.5987,10,0.5631,0.5659,0.5134,0.5987,10,8536.9,7168.0,5330.0,17069.0,10,6329.3,4877.0,3740,12119,10,0.9685,0.9753,0.9138,0.9911,10,0.6108,0.5976,0.5385,0.688,10,0.6791,0.6695,0.5832,0.7694,10,0.4146,0.4255,0.3333,0.4762,10,0.9381,0.9667,0.6944,1.0,10,0.0187,0.0124,0.0049,0.0566,10,-86.6315,-155.6724,-356.491,334.991,10,106.2901,113.284,65.4634,136.3332,10,654.7824,671.7145,531.1853,753.7037,10,0.9685,0.9753,0.9138,0.9911,10,631.0,656.0,490.0,738.0,10,633.4594,656.2296,494.7636,741.6779,10,12.7542,12.9376,9.6956,16.1185,10,19.0,19.5,14.0,24.0,10,654.7824,671.7145,531.1853,753.7037,8,633.375,654.5,491.0,728.0,8,29.5819,36.0276,2.5591,44.6,10,27.1906,28.3751,0.4409,45.5557,10,173.5638,22.0191,9.575,813.4998,10,0.827,0.9886,0.34,0.999,10,0.5067,0.5392,0.0542,0.797,10,0.4436,0.482,0.0087,0.8205,10,22.608,17.1674,2.8619,73.4069,10,0.8689,0.8869,0.4925,1.1261
only_Milk_normal_sample,10,0.6131,0.6222,0.5608,0.6301,10,0.6101,0.6188,0.5608,0.6301,10,7531.9,7744.0,4074.0,9858.0,10,7023.8,7152.5,4111,9079,10,0.97,0.9828,0.8544,1.0,10,0.6275,0.6289,0.5873,0.6516,10,0.7249,0.7346,0.6673,0.7653,10,0.4824,0.4806,0.4001,0.5565,10,0.9695,0.9898,0.8333,1.0,10,0.0247,0.0174,0.0008,0.0623,10,18.1216,18.1857,-114.606,213.7419,10,198.59,202.2756,155.9095,221.8277,10,566.218,559.4892,458.0243,663.5307,10,0.97,0.9828,0.8544,1.0,10,555.1,546.5,472.0,670.0,10,556.539,549.0,472.9649,671.209,10,8.393,8.0267,5.6443,13.5142,10,10.9,11.0,5.0,15.0,10,566.218,559.4892,458.0243,663.5307,10,563.9,543.5,468.0,800.0,10,32.296,21.9634,1.7167,136.4693,10,17.896,13.8596,0.7167,40.6951,10,388.9581,44.2484,8.8554,1476.2689,10,0.7724,0.9648,0.2918,0.999,10,0.4989,0.4854,0.1301,0.8076,10,0.4883,0.4982,0.1142,0.8121,10,21.13,19.0301,3.941,37.4246,10,0.7425,0.7574,0.3597,1.2006
only_Milk_rotation_spike,10,0.5971,0.5976,0.5383,0.6415,10,0.5949,0.5976,0.5383,0.6412,10,6039.9,5802.5,3861.0,9120.0,10,5601.5,5390.5,3581,8675,10,0.9797,0.9878,0.9431,1.0,10,0.6159,0.615,0.5685,0.6669,10,0.7055,0.696,0.6539,0.7566,10,0.4635,0.4444,0.3469,0.6424,10,0.9356,0.9796,0.6875,1.0,10,0.0228,0.0206,0.0061,0.0529,10,9.8755,14.8192,-113.8614,76.0369,10,202.2484,180.7126,143.5838,322.9424,10,547.5567,518.7204,483.0502,653.2573,10,0.9797,0.9878,0.9431,1.0,10,531.0,505.5,470.0,635.0,10,532.1389,506.2556,474.3686,635.2689,10,6.8877,6.5993,4.4336,10.7729,10,8.9,8.0,5.0,14.0,10,547.5567,518.7204,483.0502,653.2573,9,534.5556,507.0,468.0,637.0,9,22.5765,19.322,2.9138,53.5251,10,23.2339,21.7896,1.0862,62.5251,10,596.4936,329.4277,8.5924,1446.2839,10,0.888,0.999,0.3942,1.0,10,0.3064,0.3064,0.0451,0.5411,10,0.3091,0.3078,0.0468,0.6008,10,36.5704,35.3086,2.763,68.6258,10,0.5924,0.3686,0.3118,2.1794
