transition_start,frame,should_output_pose,skip_reason,pose_output,accepted_count,rank0_score,rank0_bbox_area,rank0_mask_area,rank0_reject_reasons
000000,000000,True,no_ism_candidate,False,0,0.5997409820556641,6050.0,4423,mask_area_below_min;bbox_area_below_min
000000,000013,True,no_ism_candidate,False,0,0.5773938298225403,6625.0,4539,mask_area_below_min;bbox_area_below_min
000000,000017,True,no_ism_candidate,False,0,0.5948178172111511,6678.0,4557,mask_area_below_min;bbox_area_below_min
000000,000022,True,no_ism_candidate,False,0,0.6019176244735718,6858.0,4768,mask_area_below_min;bbox_area_below_min
000000,000026,True,no_ism_candidate,False,0,0.5846495628356934,6804.0,4679,mask_area_below_min;bbox_area_below_min
000000,000031,True,no_ism_candidate,False,0,0.6031134128570557,6678.0,4534,mask_area_below_min;bbox_area_below_min
000000,000034,True,no_ism_candidate,False,0,0.5889671444892883,6678.0,4553,mask_area_below_min;bbox_area_below_min
000000,000037,True,no_ism_candidate,False,0,0.5691708922386169,6625.0,4539,mask_area_below_min;bbox_area_below_min
000000,000042,True,no_ism_candidate,False,0,0.5911524295806885,6344.0,4681,mask_area_below_min;bbox_area_below_min
000000,000047,True,no_ism_candidate,False,0,0.6030433177947998,6572.0,4557,mask_area_below_min;bbox_area_below_min
000000,000052,True,no_ism_candidate,False,0,0.5967475175857544,6000.0,4454,mask_area_below_min;bbox_area_below_min
000000,000057,True,no_ism_candidate,False,0,0.5737508535385132,7564.0,5933,mask_area_below_min;bbox_area_below_min
001251,001251,True,no_ism_candidate,False,0,0.5351367592811584,4095.0,3342,final_score_below_min;mask_area_below_min;bbox_area_below_min
001251,001255,True,no_ism_candidate,False,0,0.5070293545722961,5734.0,4716,final_score_below_min;mask_area_below_min;bbox_area_below_min
001251,001260,True,no_ism_candidate,False,0,0.5850821137428284,5808.0,4710,mask_area_below_min;bbox_area_below_min
001251,001265,True,no_ism_candidate,False,0,0.5779279470443726,7869.0,6338,mask_area_below_min;bbox_area_below_min
001251,001270,True,no_ism_candidate,False,0,0.5873607397079468,5856.0,4748,mask_area_below_min;bbox_area_below_min
001251,001276,True,no_ism_candidate,False,0,0.6304196715354919,5734.0,4286,mask_area_below_min;bbox_area_below_min
001251,001281,True,no_ism_candidate,False,0,0.6268898248672485,6272.0,4476,mask_area_below_min;bbox_area_below_min
001251,001286,True,no_ism_candidate,False,0,0.6087332963943481,4590.0,3727,mask_area_below_min;bbox_area_below_min
001251,001291,True,no_ism_candidate,False,0,0.5935562252998352,6642.0,4652,mask_area_below_min;bbox_area_below_min
001251,001296,True,no_ism_candidate,False,0,0.5610283613204956,5950.0,4394,mask_area_below_min;bbox_area_below_min
001251,001301,True,no_ism_candidate,False,0,0.5932220220565796,5808.0,4329,mask_area_below_min;bbox_area_below_min
001251,001306,True,no_ism_candidate,False,0,0.6072227954864502,6448.0,4852,mask_area_below_min;bbox_area_below_min
001724,001724,True,no_ism_candidate,False,0,0.5530228614807129,9880.0,7378,mask_area_below_min
001724,001729,True,no_ism_candidate,False,0,0.5405665636062622,8875.0,6858,final_score_below_min;mask_area_below_min;bbox_area_below_min
001724,001734,True,no_ism_candidate,False,0,0.5734857320785522,7503.0,4667,mask_area_below_min;bbox_area_below_min
001724,001739,True,no_ism_candidate,False,0,0.5665021538734436,6783.0,4275,mask_area_below_min;bbox_area_below_min
001724,001744,True,no_ism_candidate,False,0,0.5624012351036072,6440.0,4898,mask_area_below_min;bbox_area_below_min
001724,001748,True,no_ism_candidate,False,0,0.5731105208396912,5650.0,3865,mask_area_below_min;bbox_area_below_min
001724,001753,True,no_ism_candidate,False,0,0.576696515083313,5280.0,3598,mask_area_below_min;bbox_area_below_min
001724,001758,True,no_ism_candidate,False,0,0.5700616836547852,5264.0,3511,mask_area_below_min;bbox_area_below_min
001724,001762,True,no_ism_candidate,False,0,0.568591833114624,6670.0,5102,mask_area_below_min;bbox_area_below_min
001724,001767,True,no_ism_candidate,False,0,0.6135616302490234,4284.0,3214,mask_area_below_min;bbox_area_below_min
001724,001772,True,no_ism_candidate,False,0,0.604866623878479,4905.0,3352,mask_area_below_min;bbox_area_below_min
001724,001777,True,no_ism_candidate,False,0,0.6257858872413635,4018.0,2870,mask_area_below_min;bbox_area_below_min
002185,002185,True,no_ism_candidate,False,0,0.5067683458328247,590.0,191,final_score_below_min;mask_area_below_min;bbox_area_below_min;depth_valid_ratio_below_min
002185,002189,True,no_ism_candidate,False,0,0.5299781560897827,261.0,198,final_score_below_min;mask_area_below_min;bbox_area_below_min
