frame,idx,score,x,y,w,h,area,rank
000082,3,0.4217251241207123,611,127,28,193,5404,3
000082,4,0.4189756214618683,136,429,113,35,3955,4
000083,0,0.6361674666404724,278,264,66,198,13068,0
000083,1,0.6222017407417297,279,282,62,180,11160,1
000083,2,0.473856121301651,45,431,110,48,5280,2
000083,3,0.47309866547584534,281,389,59,72,4248,3
000083,4,0.4606774151325226,304,394,36,68,2448,4
000091,0,0.6359636187553406,278,264,66,198,13068,0
000091,1,0.6222749948501587,279,281,61,181,11041,1
000091,2,0.4803893268108368,281,389,59,72,4248,2
000091,3,0.45491403341293335,618,132,21,183,3843,3
000091,4,0.4311104118824005,477,444,163,35,5705,4
000092,0,0.6326421499252319,278,265,67,197,13199,0
000092,1,0.46951374411582947,281,389,59,72,4248,1
000092,2,0.46664848923683167,45,431,112,48,5376,2
000092,3,0.437330961227417,619,131,20,190,3800,3
000092,4,0.43193769454956055,476,445,164,34,5576,4
000093,0,0.6246296167373657,278,265,66,197,13002,0
000093,1,0.6014053225517273,281,389,59,72,4248,1
000093,2,0.5952342748641968,279,290,62,172,10664,2
000093,3,0.44815143942832947,618,133,21,184,3864,3
000093,4,0.41724658012390137,137,429,116,36,4176,4
000099,0,0.6299751996994019,278,265,67,197,13199,0
000099,1,0.6186681985855103,279,283,63,179,11277,1
000099,2,0.47201666235923767,281,389,59,72,4248,2
000099,3,0.4567631483078003,304,394,36,68,2448,3
000099,4,0.43360546231269836,479,445,160,34,5440,4
