frame,pose_output,rotation_delta_deg,translation_delta_mm,group,dataset,outdir,candidate_score,pose_confidence,bbox,bbox_area,mask_area,candidate_depth_valid_ratio,semantic,appearance,geometric,visible_ratio,score_margin,tx,ty,tz,mask_depth_valid_ratio,mask_depth_median_mm,mask_depth_mean_mm,mask_depth_std_mm,mask_depth_iqr_mm,object_center_depth_mm,center_patch_depth_mm,center_depth_abs_error_mm,mask_median_depth_abs_error_mm,projected_point_depth_residual_mm,projected_point_depth_valid_ratio,projected_bbox,projected_bbox_iou,render_mask_iou_approx,bbox_center_distance_px,bbox_scale_ratio,correspondence_count,inlier_count,reprojection_error
000125,True,1.5964051930438448,20.06584242993398,top_spike_context,only_Milk,jitter_recall_smoothing,0.6284071207046509,0.6284,"[296, 247, 67, 195]",13065.0,11802,0.9795797322487714,0.607975423336029,0.7171143889427185,0.5601315498352051,1.0,0.0520329475402832,-29.963150863108236,199.455706598664,480.8381493369154,0.9795797322487714,460.0,462.93841363203876,13.031178803577719,13.0,480.8381493369154,453.0,27.83814933691542,20.83814933691542,6.877224959283126,0.4738,"[265.745209488005, 253.93410391546726, 67.42241731844922, 167.44718403321602]",0.3432566965803666,0.28994629554772766,30.812885867799746,1.157250151490853,not_logged,not_logged,not_logged
000130,True,1.1450996256781711,22.342499041341938,top_spike_context,only_Milk,jitter_recall_smoothing,0.6271049380302429,0.6271,"[312, 246, 69, 192]",13248.0,11807,0.9763699500296434,0.5956680178642273,0.7103272676467896,0.5753196477890015,1.0,0.10219484567642212,-8.101048061020354,199.57621035724685,485.444797068995,0.9763699500296434,467.0,468.9245315752949,12.508353705745826,12.0,485.444797068995,466.0,19.444797068995,18.444797068995,9.604709866954181,0.7062,"[282.9810537271584, 253.93748335410916, 68.19226227760151, 165.63433088690792]",0.3593804235154432,0.30340104197155066,29.886715437612942,1.1729104710213318,not_logged,not_logged,not_logged
000135,True,2.6441544505064947,26.287362092308257,top_spike_context,only_Milk,jitter_recall_smoothing,0.5688777565956116,0.5683,"[339, 257, 69, 179]",12351.0,11614,0.9615980712932668,0.5870725512504578,0.6791133880615234,0.4322495758533478,0.9399999976158142,0.003336310386657715,17.86931822627915,200.59953673221045,489.38412236730767,0.9615980712932668,468.0,469.66708452722065,9.670161233963444,12.0,489.38412236730767,568.5,79.11587763269233,21.38412236730767,93.84062653551644,0.463,"[303.5323255777657, 254.58314915894115, 68.27202565311774, 163.9897235714096]",0.29048086915601995,0.25660334303154775,37.18001935881109,1.10317065089708,not_logged,not_logged,not_logged
000140,True,0.9348149405372637,22.074125399568615,top_spike_context,only_Milk,jitter_recall_smoothing,0.6094967126846313,0.6095,"[353, 264, 64, 157]",10048.0,9098,0.9868102879753792,0.5984721779823303,0.7233527302742004,0.5056052803993225,0.9897959232330322,0.03963732719421387,38.95005631302383,204.20469673970632,494.84967953874997,0.9868102879753792,478.0,478.2069503230118,6.5970781240628185,10.0,494.84967953874997,538.0,43.15032046125003,16.849679538749967,2.8647082743703436,0.2866,"[320.12715330748347, 257.33087450523533, 68.55289931296738, 162.0693662897952]",0.3551183532657616,0.27454545454545454,30.874473681844904,0.9043839893199328,not_logged,not_logged,not_logged
000145,True,1.3418811498534566,22.871767423760637,top_spike_context,only_Milk,jitter_recall_smoothing,0.5547567009925842,0.5548,"[358, 264, 66, 159]",10494.0,9692,0.9699752373091209,0.567296028137207,0.6716711521148682,0.4130189120769501,0.9133333563804626,0.004626154899597168,58.28753553535026,205.32305074457864,507.0122831552656,0.9699752373091209,500.0,501.5312200829699,7.651814807930968,11.0,507.0122831552656,496.0,11.012283155265607,7.012283155265607,9.198837950980618,0.552,"[334.03065153594525, 257.84209041946906, 68.26065016382904, 158.04703246814177]",0.46220232531820743,0.40993788819875776,23.783106696256095,0.9727120445575445,not_logged,not_logged,not_logged
000150,True,56.55638687565204,62.98541969167162,top_spike_context,only_Milk,jitter_recall_smoothing,0.5984697937965393,0.5985,"[373, 269, 53, 110]",5830.0,5223,0.9894696534558682,0.649476170539856,0.7436366677284241,0.40229660272598267,1.0,0.04381752014160156,76.03689809797767,144.90498325100492,505.6779883233836,0.9894696534558682,531.0,531.3095975232198,5.447764971221289,8.0,505.6779883233836,525.0,19.3220116766164,25.3220116766164,177.7460642125094,0.875,"[350.2912263704075, 262.62698574064694, 101.63206397665539, 127.2409745082943]",0.4508279391107768,0.4668046059733717,2.7630443887228293,0.45082793911077673,not_logged,not_logged,not_logged
000155,True,19.60304095285862,38.448672246054514,top_spike_context,only_Milk,jitter_recall_smoothing,0.5596345663070679,0.5581,"[367, 249, 62, 159]",9858.0,9030,0.9487264673311185,0.5851824879646301,0.6569180488586426,0.42514777183532715,0.9133333563804626,0.0009657144546508789,90.8639842977431,166.35823804503798,533.9307009551212,0.9487264673311185,559.0,562.0325668261935,14.761770785357895,15.0,533.9307009551212,551.0,17.06929904487879,25.06929904487879,143.24197045459684,0.9976,"[358.55851510390744, 247.07126160551144, 84.16911346704495, 146.17932337234492]",0.6766052817934126,0.6982161413231729,8.747915699467809,0.8012169228232794,not_logged,not_logged,not_logged
000160,True,50.65458294637998,54.1368442879691,top_spike_context,only_Milk,jitter_recall_smoothing,0.582994818687439,0.583,"[374, 271, 46, 98]",4508.0,4131,1.0,0.6399184465408325,0.7336562871932983,0.3732696771621704,0.9897959232330322,0.0009198188781738281,98.96158979353302,124.65285499630349,567.4849513483679,1.0,585.0,585.7075768579036,5.5739728023939135,8.0,567.4849513483679,582.0,14.515048651632128,17.515048651632128,849.9121583769033,0.9042,"[364.7500881629079, 277.05675527228595, 168.801177050899, 92.54426374553566]",0.26599612251091675,0.24377093374724287,52.25681361007471,0.2885751513326112,not_logged,not_logged,not_logged
000165,True,27.577313707896522,37.72678417803182,top_spike_context,only_Milk,jitter_recall_smoothing,0.5739594101905823,0.574,"[361, 250, 56, 146]",8176.0,7304,0.9826122672508215,0.6163275837898254,0.660000741481781,0.43735364079475403,0.9399999976158142,0.13969391584396362,103.94503229768124,152.2143536113668,592.7602226489,0.9826122672508215,612.0,613.5434025358785,12.130156211630403,12.0,592.7602226489,604.0,11.239777351099974,19.239777351099974,977.3865292708452,0.9956,"[368.5761120332747, 251.38979035459602, 127.66623401760688, 126.83666384432348]",0.3369715293231722,0.2586232203141054,44.17542333311757,0.5049170369789673,not_logged,not_logged,not_logged
000170,True,18.171777894804286,29.30880077291789,top_spike_context,only_Milk,jitter_recall_smoothing,0.5749415159225464,0.5749,"[361, 251, 53, 141]",7473.0,6734,0.9915354915354916,0.6119405627250671,0.6675148010253906,0.43410205841064453,0.9200000166893005,0.1274484395980835,106.72927152755042,170.9343287792732,615.1391489942459,0.9915354915354916,628.0,631.0739853227498,11.730151030597316,11.0,615.1391489942459,620.0,4.860851005754057,12.860851005754057,1003.3609648018103,0.7888,"[366.8301778656809, 241.3663600585536, 95.396985978506, 137.7567524397586]",0.41476426439159086,0.3540012489963422,29.27849056263622,0.5686531284283594,not_logged,not_logged,not_logged
