dataset,variant,visible_recall,hidden_fpr,rotation_max
SLAM,before,0.8074866310160428,0.013761467889908258,
SLAM,after,0.8021390374331551,0.013761467889908258,38.16108871593823
only_Milk,before,0.9942196531791907,0.0,56.55638687565204
only_Milk,after,0.9884393063583815,0.0,30.07952252995195
