after_extent,after_mean,before_extent,before_mean,template_dir,variant,view
"[52.25, 59.0625, 184.125]","[-25.390625, 7.832031, -0.581055]","[0.052246, 0.059082, 0.184082]","[-0.025391, 0.007828, -0.000581]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,18
"[66.875, 46.375, 184.125]","[-13.960938, 18.578125, 2.78125]","[0.066895, 0.046387, 0.184082]","[-0.013962, 0.018585, 0.002781]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,19
"[72.25, 29.296875, 185.0]","[-0.005142, 22.109375, 3.246094]","[0.072266, 0.029297, 0.185059]","[-5e-06, 0.02211, 0.003246]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,20
"[66.375, 46.375, 184.125]","[13.945312, 18.578125, 2.78125]","[0.066406, 0.046387, 0.184082]","[0.013947, 0.018585, 0.002781]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,21
"[51.75, 59.0625, 184.125]","[25.375, 7.832031, -0.583496]","[0.051758, 0.059082, 0.184082]","[0.025375, 0.007835, -0.000583]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,22
"[52.71875, 59.5625, 184.125]","[25.375, -7.960938, -0.684082]","[0.052734, 0.05957, 0.184082]","[0.025375, -0.007957, -0.000684]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,23
"[66.375, 46.375, 184.125]","[13.882812, -18.765625, 2.724609]","[0.066406, 0.046387, 0.184082]","[0.013885, -0.018768, 0.002726]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,24
"[72.25, 29.78125, 185.0]","[-0.006577, -22.25, 3.267578]","[0.072266, 0.029785, 0.185059]","[-7e-06, -0.022263, 0.003267]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,25
"[64.9375, 62.0, 184.0]","[26.109375, -0.019333, 16.4375]","[0.064941, 0.062012, 0.184082]","[0.026108, -1.9e-05, 0.016434]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,26
"[65.9375, 54.1875, 184.0]","[-19.03125, -13.6875, 18.59375]","[0.065918, 0.054199, 0.184082]","[-0.019028, -0.013687, 0.0186]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,27
"[65.9375, 54.1875, 184.0]","[-19.140625, 13.484375, 18.5625]","[0.065918, 0.054199, 0.184082]","[-0.01915, 0.013489, 0.01857]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,28
"[70.3125, 51.75, 184.0]","[6.597656, 20.125, 19.1875]","[0.070312, 0.051758, 0.184082]","[0.006599, 0.020126, 0.019196]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,29
"[70.3125, 52.25, 184.0]","[6.585938, -20.265625, 19.234375]","[0.070312, 0.052246, 0.184082]","[0.006588, -0.020279, 0.019241]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,30
"[65.9375, 62.5, 183.5]","[-25.1875, -0.011787, 21.375]","[0.065918, 0.0625, 0.183594]","[-0.025192, -1.2e-05, 0.021378]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,31
"[67.375, 55.1875, 183.5]","[18.5, 13.070312, 23.0]","[0.067383, 0.055176, 0.183594]","[0.018494, 0.013077, 0.02301]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,32
"[67.375, 56.125, 183.5]","[18.390625, -13.28125, 23.046875]","[0.067383, 0.056152, 0.183594]","[0.018387, -0.013283, 0.023041]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,33
"[70.8125, 53.21875, 183.5]","[-6.378906, -19.6875, 23.359375]","[0.070801, 0.053223, 0.183594]","[-0.006378, -0.019699, 0.023361]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,34
"[70.8125, 53.21875, 183.5]","[-6.398438, 19.546875, 23.28125]","[0.070801, 0.053223, 0.183594]","[-0.006397, 0.019547, 0.023285]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,35
"[69.8125, 62.0, 182.625]","[16.984375, -0.034271, 49.53125]","[0.069824, 0.062012, 0.182617]","[0.016983, -3.4e-05, 0.049561]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,36
"[71.75, 59.0625, 182.625]","[-12.9375, -9.59375, 48.9375]","[0.071777, 0.059082, 0.182617]","[-0.012939, -0.009598, 0.04895]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,37
"[71.75, 58.125, 182.625]","[-13.054688, 9.414062, 48.90625]","[0.071777, 0.058105, 0.182617]","[-0.013054, 0.009415, 0.04892]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,38
"[71.75, 57.125, 182.625]","[4.527344, 14.460938, 47.40625]","[0.071777, 0.057129, 0.182617]","[0.004528, 0.014465, 0.047424]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,39
"[71.75, 57.125, 182.625]","[4.492188, -14.632812, 47.5]","[0.071777, 0.057129, 0.182617]","[0.00449, -0.014633, 0.047485]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,40
"[72.25, 54.6875, 6.8125]","[0.004009, -0.097351, 92.0]","[0.072266, 0.054688, 0.006836]","[4e-06, -9.7e-05, 0.092041]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_160000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_160000,41
"[68.375, 56.625, 48.8125]","[0.016281, -0.008972, -91.5625]","[0.068359, 0.056641, 0.048828]","[1.6e-05, -9e-06, -0.091553]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,0
"[70.8125, 59.0625, 180.625]","[-5.125, -14.9375, -39.625]","[0.070801, 0.059082, 0.180664]","[-0.005127, -0.014938, -0.039612]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,1
"[70.8125, 59.0625, 180.625]","[-5.140625, 14.84375, -39.625]","[0.070801, 0.059082, 0.180664]","[-0.005138, 0.014847, -0.039642]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,2
"[64.4375, 59.0625, 180.625]","[13.976562, 9.359375, -42.4375]","[0.064453, 0.059082, 0.180664]","[0.013977, 0.009354, -0.04245]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,3
"[64.4375, 59.0625, 180.625]","[13.914062, -9.5, -42.4375]","[0.064453, 0.059082, 0.180664]","[0.013916, -0.009499, -0.04245]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,4
"[63.0, 62.0, 180.625]","[-17.859375, -0.028839, -45.96875]","[0.062988, 0.062012, 0.180664]","[-0.017868, -2.9e-05, -0.045959]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,5
"[70.3125, 56.625, 182.625]","[6.570312, 19.484375, -16.328125]","[0.070312, 0.056641, 0.182617]","[0.006569, 0.019485, -0.016342]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,6
"[70.3125, 57.125, 182.625]","[6.554688, -19.59375, -16.28125]","[0.070312, 0.057129, 0.182617]","[0.006557, -0.019592, -0.016281]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,7
"[63.0, 58.125, 181.625]","[-18.421875, -12.882812, -18.921875]","[0.062988, 0.058105, 0.181641]","[-0.018417, -0.012886, -0.018921]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,8
